sale_date,product_id,quantity,sales_price_tax,regular_price_tax,sales_price,regular_price,purchase_price
2021-04-09,131910,6,7490.0,11110.0,6242.0,9258.3333,6144.7779
2021-04-09,132408,2,9990.0,16656.0,8325.0,13879.6296,7368.06
2021-04-09,133888,2,4990.0,5544.0,4158.0,4620.3704,2484.47
2021-04-09,134358,2,37325.0,46656.0,31104.0,38880.0,30430.0
2021-04-09,136250,1,990.0,2767.0,825.0,2305.5583,885.0
2021-04-09,139935,1,1499.0,1666.0,1249.0,1387.963,720.0
2021-04-09,143226,1,2490.0,3322.0,2075.0,2768.5185,1687.07
2021-04-09,156095,7,3690.0,4100.0,3075.0,3416.6667,2361.646
2021-04-09,156474,1,27991.0,34989.0,23326.0,29157.4074,20000.0
2021-04-09,156866,2,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-09,157317,1,4990.0,11100.0,4158.0,9250.0,3516.0
2021-04-09,157318,1,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-09,161147,2,3915.5,4443.0,3263.0,3702.7778,2200.0
2021-04-10,107645,1,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-10,125506,2,1242.0,1656.0,1035.0,1379.6296,718.07
2021-04-10,131910,4,7490.0,11110.0,6242.0,9258.3333,6144.7779
2021-04-10,133888,1,4158.0,5544.0,3465.0,4620.3704,2484.47
2021-04-10,136250,4,990.0,2767.0,825.0,2305.5583,932.5
2021-04-10,156474,1,27991.0,34989.0,23326.0,29157.4074,20000.0
2021-04-10,156866,5,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-10,157317,1,4990.0,11100.0,4158.0,9250.0,3516.0
2021-04-11,136250,1,990.0,2767.0,825.0,2305.5583,980.0
2021-04-12,107645,1,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-12,110853,6,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-04-12,112377,2,1190.0,1322.0,992.0,1101.8519,644.813
2021-04-12,124329,1,2990.0,3322.0,2492.0,2768.5185,1950.0
2021-04-12,124455,1,24999.0,27777.0,20832.0,23147.2222,16599.3083
2021-04-12,125506,1,1490.0,1656.0,1242.0,1379.6296,718.07
2021-04-12,131910,15,7490.0,11110.0,6242.0,9258.3333,6144.7779
2021-04-12,132408,2,9990.0,17211.0,8325.0,14342.5926,7368.06
2021-04-12,133888,1,4158.0,5544.0,3465.0,4620.3704,2993.34
2021-04-12,134358,1,37325.0,46656.0,31104.0,38880.0,30430.0
2021-04-12,136250,7,990.0,2767.0,825.0,2305.5583,916.666666
2021-04-12,139935,1,1332.0,1666.0,1110.0,1387.963,720.0
2021-04-12,142254,1,5990.0,7656.0,4992.0,6379.6333,3722.0
2021-04-12,143220,1,2490.0,5544.0,2075.0,4620.3704,1712.49
2021-04-12,143226,3,2490.0,3322.0,2075.0,2768.5185,1687.07
2021-04-12,145377,1,1890.0,2100.0,1575.0,1750.0,860.0
2021-04-12,156095,1,3690.0,4100.0,3075.0,3416.6667,2361.646
2021-04-12,156866,9,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-12,157316,3,3990.0,7767.0,3325.0,6472.2222,2829.0
2021-04-12,157318,2,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-12,161147,2,3332.0,4999.0,2777.0,4165.7407,2200.0
2021-04-13,103851,1,1190.0,1190.0,992.0,991.6667,773.5026
2021-04-13,107645,3,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-13,110853,2,3990.0,8322.0,3325.0,6935.1852,3126.85
2021-04-13,112377,1,1190.0,1322.0,992.0,1101.8519,545.61
2021-04-13,125506,2,1448.5,1656.0,1207.0,1379.6296,718.07
2021-04-13,131910,6,7490.0,11110.0,6242.0,9258.3333,6146.18815
2021-04-13,132408,1,9990.0,17211.0,8325.0,14342.5926,7368.06
2021-04-13,136250,7,990.0,2767.0,825.0,2305.5583,980.0
2021-04-13,143226,2,2490.0,3322.0,2075.0,2768.5185,1687.07
2021-04-13,145377,4,1190.0,2100.0,992.0,1750.0,860.0
2021-04-13,156095,3,3690.0,4100.0,3075.0,3416.6667,2361.646
2021-04-13,156485,1,55992.0,69989.0,46660.0,58324.0741,44618.2
2021-04-13,156866,3,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-13,157317,2,4740.5,11100.0,3950.0,9250.0,3516.0
2021-04-13,157318,1,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-13,161147,2,3699.5,4999.0,3083.0,4165.7407,2200.0
2021-04-14,103851,1,1190.0,1190.0,992.0,991.6667,773.5026
2021-04-14,107645,3,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-14,110853,2,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-04-14,110908,1,5741.0,7656.0,4784.0,6379.6333,3722.0
2021-04-14,112377,2,1157.0,1322.0,964.5,1101.8519,545.61
