stock_date,product_id,total_stock
2021-01-12,157317,128
2021-12-29,132284,13
2021-06-03,157317,280
2021-06-06,154553,110
2021-04-03,142254,66
2021-01-30,112437,2670
2021-06-08,106100,547
2021-04-04,112582,245
2021-02-04,136250,120
2021-07-06,136250,1232
2021-02-15,134358,11
2021-01-02,157316,82
2021-09-21,161147,396
2021-10-21,156095,31
2021-03-02,110908,114
2021-02-19,110908,135
2021-11-14,157317,877
2021-08-08,136250,1134
2021-08-29,110675,48
2021-03-07,132284,115
2021-07-10,164725,53
2021-06-15,154557,242
2021-10-17,124455,8
2021-07-18,161147,457
2021-08-13,110908,320
2021-01-26,124455,129
2021-04-27,143220,496
2021-04-30,112377,370
2021-07-28,106100,64
2021-02-03,157317,135
2021-08-27,106100,50
2021-03-10,154553,27
2021-12-21,107645,298
2021-04-05,112437,1302
2021-07-31,143226,484
2021-04-17,112582,447
2021-12-16,156095,7
2021-12-11,134200,735
2021-04-07,112377,556
2021-02-03,126707,22
2021-05-11,136250,584
2021-08-09,134200,548
2021-09-17,134358,15
2021-01-27,149301,599
2021-09-21,106100,41
2021-05-19,128772,102
2021-10-06,112437,700
2021-05-09,110908,637
2021-04-18,110908,701
2021-07-01,149301,852
2021-11-01,122363,177
2021-12-12,156485,52
2021-05-16,157317,165
2021-10-24,124455,8
2021-07-14,162101,262
2021-06-15,124329,221
2021-03-18,124329,190
2021-03-08,110675,53
2021-05-28,149306,41
2021-06-30,110908,470
2021-03-16,149301,1311
2021-08-21,163385,248
2021-08-05,132408,350
2021-11-19,156095,62
2021-12-02,128772,306
2021-06-08,112376,780
2021-07-08,154557,133
2021-11-02,134200,648
2021-09-18,161147,345
2021-03-11,110675,52
2021-02-26,132284,154
2021-06-04,124455,210
2021-08-16,134358,90
2021-09-30,157317,326
2021-01-10,125506,720
2021-09-18,143226,496
2021-01-12,156474,85
2021-08-12,112376,701
2021-07-15,112376,780
2021-12-23,136250,112
2021-02-24,136250,24
2021-10-16,154553,6
2021-07-21,112582,138
2021-05-10,112376,950
2021-02-19,157318,78
2021-05-29,128772,68
2021-10-27,160649,8
2021-11-18,131910,58
2021-08-20,160649,26
2021-02-22,103851,489
2021-11-05,154553,30
2021-04-10,122363,365
2021-06-27,107645,311
2021-11-10,145377,21
2021-07-30,156866,349
2021-07-19,149301,800
2021-09-25,131910,172
2021-10-04,160649,11
2021-10-18,124455,8
2021-04-13,125506,940
2021-04-26,157913,378
2021-04-04,157913,577
2021-10-19,154557,232
2021-06-16,136250,1039
2021-04-21,133888,60
2021-02-09,142254,97
2021-05-12,103851,767
2021-06-24,125506,545
2021-07-21,121807,229
2021-02-06,103851,709
2021-10-31,103851,611
2021-04-24,112582,409
2021-07-31,163385,45
2021-10-08,110853,10
2021-04-17,106100,51
2021-04-04,156866,356
2021-09-16,112377,527
2021-08-28,128194,46
2021-01-09,103851,433
2021-06-16,143226,185
2021-12-16,145377,20
2021-01-25,131910,374
2021-02-27,110853,309
2021-09-16,126707,23
2021-07-01,142254,309
2021-10-07,139935,7165
2021-04-11,157316,224
2021-01-19,121807,100
2021-09-15,112377,554
2021-11-21,163385,335
2021-10-09,134200,601
2021-04-21,132284,66
2021-09-26,124329,324
2021-04-26,126707,5
2021-03-05,154557,125
2021-10-21,112582,19
2021-04-13,124329,122
2021-11-30,157317,1298
2021-05-01,136250,716
2021-07-20,157318,129
2021-12-11,131910,19
2021-01-29,157318,86
2021-12-14,162101,743
2021-11-12,162101,610
2021-11-09,149306,202
2021-11-20,131910,54
2021-04-26,121807,99
2021-10-02,121807,258
2021-02-01,125506,781
2021-05-17,156485,42
2021-03-11,157318,352
2021-06-20,161147,411
2021-12-26,156474,4
2021-07-25,162101,545
2021-07-20,124329,340
2021-05-19,156095,21
2021-03-13,112582,3
2021-10-10,126707,13
2021-10-01,107645,497
2021-10-19,149306,73
2021-07-03,103851,749
2021-08-05,157318,369
2021-11-09,112582,15
2021-08-01,154557,168
2021-08-26,143226,346
2021-10-07,142254,100
2021-10-11,112376,747
2021-09-19,110853,10
2021-12-20,145377,20
2021-12-17,131910,19
2021-07-15,110908,246
2021-06-18,133888,86
2021-01-14,122363,234
2021-10-14,134200,740
2021-02-26,112376,403
2021-01-10,112377,410
